2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
群馬県 66kV 47,榛名線,66,2,132,74,熱容量,0,0,可,0,有り,対象,変8，変群馬154kV2,上位系（送群馬66kV45）による制約
群馬県 66kV 48,上信線,66,2,106,69,熱容量,0,0,可,12,有り,-,変8，変群馬154kV2，送群馬66kV47,上位系（送群馬66kV47）による制約
群馬県 66kV 49,草津線,66,2,102,57,熱容量,32,0,可,40,有り,-,変8，変群馬154kV2，送群馬66kV47,上位系（送群馬66kV48）による制約
群馬県 66kV 50,熊川線,66,1,-,-,-,63,0,-,-,有り,-,変8，変群馬154kV2，送群馬66kV47,◇　上位系（送群馬66kV48）による制約
群馬県 66kV 51,烏川線（西毛側）,66,2,230,130,熱容量,63,0,可,100,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 66kV 52,美九里線,66,2,132,88,熱容量,0,0,可,20,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 66kV 53,下久保線,66,1,102,57,熱容量,2,0,不可 ♯２,-,有り,-,変群馬66kV5,上位系（送群馬66kV52）による制約
群馬県 66kV 54,西毛線,66,2,115,115,熱容量,0,0,可,0,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 66kV 55,下仁田線,66,2,102,57,熱容量,0,0,可,0,有り,-,変群馬66kV5,上位系（送群馬66kV54）による制約
群馬県 66kV 56,九十九線,66,2,94,53,熱容量,0,0,可,14,有り,-,変群馬66kV5,上位系（送群馬66kV68）による制約
群馬県 66kV 57,高崎線,66,2,184,104,熱容量,89,0,可,80,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 66kV 58,東山線,66,2,96,48,熱容量,20,20,可,48,-,-,-,
群馬県 66kV 59,小泉線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,上位系（変4）による制約
群馬県 66kV 60,内ヶ島線（東太田側）,66,2,184,104,熱容量,65,65,可,80,-,-,-,
群馬県 66kV 61,内ヶ島線（東毛側）,66,2,304,152,熱容量,130,130,可,152,-,-,-,
群馬県 66kV 62,豊里線,66,2,132,74,熱容量,40,40,可,58,-,-,-,
群馬県 66kV 63,境町線,66,2,372,212,熱容量,139,139,可,160,-,-,-,
群馬県 66kV 64,桐生線（東毛側）,66,2,132,74,熱容量,6,6,可,58,-,-,-,
群馬県 66kV 65,伊勢崎線,66,2,132,74,熱容量,63,0,可,58,有り,-,変8，変群馬154kV2,上位系（変群馬66kV3）による制約
群馬県 66kV 66,新前橋線,66,2,116,67,熱容量,56,0,可,49,有り,-,変8，変群馬154kV2,上位系（送群馬154kV2）による制約
群馬県 66kV 67,北橘線,66,2,184,104,熱容量,0,0,可,70,有り,-,変8，変群馬154kV2，送群馬154kV9,抑制必要設備には送群馬154kV5、送群馬66kV31含む　上位系（変群馬66kV7）による制約
群馬県 66kV 68,碓氷線（西毛側）,66,2,260,130,熱容量,0,0,可,89,有り,-,変群馬66kV5,上位系（送群馬66kV71）による制約
群馬県 66kV 70,多野線,66,2,230,130,熱容量,91,0,可,100,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 66kV 71,磯部線,66,2,434,217,熱容量,0,0,可,119,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 66kV 72,根小屋線,66,2,184,104,熱容量,83,0,可,80,有り,-,変群馬66kV5,上位系（変群馬66kV5）による制約
群馬県 66kV 73,前橋線,66,2,372,212,熱容量,186,0,可,160,有り,-,変8，変群馬154kV2,上位系（送群馬154kV2）による制約
群馬県 66kV 74,竜舞線,66,2,260,130,熱容量,80,20,可,130,-,-,-,
