2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
茨城県 66kV 22,真弓線,66,2,132,88,熱容量,42,0,可,44,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 23,大子線,66,2,51,51,熱容量,0,0,可,0,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV1）による制約
茨城県 66kV 24,久慈線,66,2,302,172,熱容量,18,0,可,130,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城66kV25）による制約
茨城県 66kV 25,常陸大宮線,66,2,190,118,熱容量,0,0,可,30,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（変茨城66kV6）による制約
茨城県 66kV 26,送電線,66,2,92,92,熱容量,26,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む　上位系（送茨城66kV25）による制約
茨城県 66kV 27,小野川線,66,2,184,104,熱容量,64,0,可,80,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 28,送電線,66,2,184,104,熱容量,92,0,可,80,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 29,牛久北部線,66,2,102,57,熱容量,17,0,可,6,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 30,送電線,66,2,68,39,熱容量,34,0,可,29,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 31,取手線,66,2,132,74,熱容量,60,0,可,58,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 32,筑波南線（常総系）,66,2,294,167,熱容量,132,0,可,127,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 33,東取手線,66,2,132,74,熱容量,66,0,可,58,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 34,守谷線,66,2,122,70,熱容量,61,0,可,52,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 35,送電線,66,2,34,24,熱容量,17,0,可,10,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 36,谷和原線１，２号,66,2,444,254,熱容量,189,0,可,20,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 37,岩井線,66,2,184,124,熱容量,0,0,可,60,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 38,筑波豊里線,66,2,120,71,熱容量,27,0,可,49,有り,-,送52，送50，送45,上位系（送茨城66kV37）による制約
茨城県 66kV 39,テクノパーク豊里線,66,2,102,67,熱容量,51,0,可,35,有り,-,送52，送50，送45,上位系（送茨城66kV37）による制約
茨城県 66kV 40,沓掛線,66,2,126,77,熱容量,21,0,可,49,有り,-,送52，送50，送45,上位系（送茨城66kV37）による制約
茨城県 66kV 41,水海道線,66,2,184,104,熱容量,87,0,可,43,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 42,出口線,66,2,196,107,熱容量,91,0,可,7,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 43,飯沼川線,66,2,102,67,熱容量,18,0,可,8,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県 66kV 44,稲敷線,66,2,444,254,熱容量,47,0,可,190,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 45,送電線,66,2,64,40,熱容量,32,0,可,24,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 46,江戸崎線,66,2,132,74,熱容量,0,0,可,15,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
茨城県 66kV 47,送電線,66,2,-,-,-,40,0,-,-,有り,-,送52，送50，送45，変茨城66kV3,上位系（送茨城66kV46）による制約
茨城県 66kV 48,幸田線,66,2,132,88,熱容量,15,0,可,44,有り,-,送52，送50，送45，変茨城66kV3,上位系（送茨城66kV46）による制約
茨城県 66kV 49,角崎線,66,2,132,88,熱容量,21,0,可,44,有り,-,送52，送50，送45，変茨城66kV3,上位系（送茨城66kV46）による制約
茨城県 66kV 50,筑波南線（筑波南系）,66,2,444,254,熱容量,52,0,可,168,有り,-,送52，送50，送45，変茨城66kV3,上位系（変茨城66kV3）による制約
