2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
基幹 500kV 48,新筑波線,500,2,11874,6582,熱容量,4900,0,可,1400,有り,-,送52,上位系（送52）による制約
基幹 275kV 49,東京東線,275,2,1322,743,熱容量,743,0,可,579,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 275kV 50,東京北線,275,2,1322,743,熱容量,0,0,可,0,有り,対象,送52,上位系（送52）による制約
基幹 275kV 51,北葛飾線,275,2,6530,3619,熱容量,3619,0,可, ,有り,-,送47,抑制が必要となる設備には送46含む　上位系（送47）による制約
基幹 500kV 52,新古河線,500,2,7878,4410,熱容量,0,0,可,350,有り,対象,-,フェンス管理
基幹 275kV 53,河北線1・2L,275,2,3066,1729,熱容量,1729,0,可,1338,有り,-,送52,上位系（送52）による制約
基幹 275kV 54,河北線3・4L,275,2,3066,1729,熱容量,1729,0,可,1338,有り,-,送52,上位系（送52）による制約
基幹 275kV 55,中東京幹線,275,2, , ,熱容量,0,0,不可 ♯１,-,有り,対象,-,◇
基幹 275kV 56,田子倉線,275,2,1048,541,熱容量,400,0,不可 ♯１,-,有り,-,送57,◇　上位系（送57）による制約
基幹 275kV 57,奥只見線,275,2,1048,541,熱容量,0,0,不可 ♯１,-,有り,対象,-,◇
基幹 500kV 58,東群馬幹線,500,2,11254,6430,熱容量,1900,1900,不可 ♯１,-,-,-,-,
基幹 500kV 59,新赤城線,500,2,13164,6582,熱容量,5200,5200,不可 ♯１,-,-,-,-,
基幹 500kV 60,新新田線,500,2,13164,6582,熱容量,0,0,不可 ♯１,-,有り,対象,-,
基幹 275kV 61,東毛線,275,2,1810,905,熱容量,700,700,可,905,-,-,-,
基幹 500kV 62,新坂戸線,500,2,13164,6582,熱容量,3900,3900,不可 ♯１,-,-,-,-,
基幹 500kV 63,新岡部線,500,2,13164,6582,熱容量,1500,1500,不可 ♯１,-,-,-,-,
基幹 275kV 64,北熊谷線,275,2,6958,3619,熱容量,3619,1000,可,1400,-,-,-,
基幹 275kV 65,児玉線,275,2,1532,864,熱容量,400,400,可,668,-,-,-,
基幹 275kV 66,玉原線,275,2,961,961,熱容量,0,0,不可 ♯１,-,有り,対象,-,◇
基幹 500kV 67,南新潟幹線,500,2,-,-,-,2100,2100,-,-,-,-,-,◇
基幹 500kV 68,新新潟幹線,500,2,-,-,-,2000,2000,-,-,-,-,-,◇
基幹 500kV 69,送電線,500,2,-,-,-,40,40,-,-,-,-,-,◇
基幹 500kV 70,西群馬幹線,500,2,13164,6582,熱容量,4100,4100,不可 ♯１,-,-,-,-,
基幹 500kV 71,神流川線,500,1,-,-,-,2200,2200,-,-,-,-,-,◇
基幹 500kV 72,新吾妻線,500,2,13164,6582,熱容量,4100,4100,不可 ♯１,-,-,-,-,
基幹 500kV 73,西上武幹線,500,2,13164,6582,熱容量,3800,3800,不可 ♯１,-,-,-,-,
基幹 500kV 74,新榛名線,500,2,13164,6582,熱容量,4300,4300,不可 ♯１,-,-,-,-,
基幹 500kV 75,安曇幹線,500,2,5206,2939,熱容量,0,0,可,335,有り,対象,-,◇
基幹 275kV 76,高瀬川線,275,2,-,-,-,0,0,-,-,有り,-,送75，変10,◇　上位系（変10）による制約
基幹 275kV 77,梓川線,275,1,767,864,熱容量,400,0,不可 ♯２,-,有り,-,送75，変10,◇　上位系（変10）による制約
基幹 275kV 78,送電線,275,1,-,-,-,300,0,-,-,有り,-,送75，変10,◇　上位系（変10）による制約
基幹 500kV 79,葛野川線,500,1,-,-,-,400,400,-,-,-,-,-,◇
基幹 500kV 80,西群馬幹線,500,2,13164,6582,熱容量,3800,3800,不可 ♯１,-,-,-,-,
基幹 500kV 81,新秦野線,500,2,11874,6582,熱容量,4500,4500,不可 ♯１,-,-,-,-,
基幹 275kV 82,佐久間東幹線,275,2,-,-,-,0,0,-,-,有り,対象,-,◇
基幹 275kV 83,佐久間東幹線,275,2,1020,590,熱容量,590,220,可,430,-,-,-,
基幹 500kV 84,新多摩線,500,2,11874,6582,熱容量,4400,4400,不可 ♯１,-,-,-,-,
基幹 500kV 85,新秩父線,500,2,9872,4936,熱容量,1600,1600,不可 ♯１,-,-,-,-,
基幹 500kV 86,新所沢線,500,2,11874,6582,熱容量,5000,5000,不可 ♯１,-,-,-,-,
基幹 500kV 87,新飯能線,500,2,13164,6582,熱容量,6582,6582,可,1400,-,-,-,
基幹 275kV 88,青梅線,275,2,5430,2715,熱容量,2715,1710,可,1400,-,-,-,
基幹 275kV 89,青梅線,275,2,1810,905,熱容量,905,905,可,905,-,-,-,
基幹 275kV 90,豊岡線,275,2,3620,1810,熱容量,1810,1710,可,1400,-,-,-,
基幹 275kV 91,東京西線,275,2,5470,3067,熱容量,400,400,可,0,-,-,-,
基幹 275kV 92,港北線（港北～荏田）,275,2,3066,1729,熱容量,0,0,可,0,有り,対象,送144,上位系（送144）による制約
基幹 275kV 93,横浜港北線,275,4,-,-,-,0,0,-,-,有り,対象,送144，送92,◇　上位系（送92）による制約
基幹 275kV 94,西北線,275,2,3066,1729,熱容量,1729,400,可,1337,-,-,-,
基幹 275kV 95,東新宿線,275,2,632,632,熱容量,632,400,可,0,-,-,-,
基幹 275kV 96,新宿線,275,3,876,876,熱容量,876,400,可,0,-,-,-,
基幹 275kV 97,新宿城南線,275,3,831,831,熱容量,831,400,可,0,-,-,-,
基幹 275kV 98,西南多摩線,275,2,1320,751,熱容量,0,0,可,82,有り,-,送117,上位系（送118）による制約
基幹 275kV 99,佐久間東幹線,275,2,1020,590,熱容量,400,400,可,430,-,-,-,
基幹 275kV 100,秦浜線,275,2,3620,1810,熱容量,0,0,可,253,有り,-,変18,上位系（変18）による制約
基幹 275kV 101,東京南線1・2L,275,2,1322,743,熱容量,700,0,可,1400,有り,-,送117,上位系（送103）による制約
