2025年11月25日更新
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
東京都（多摩地区） 配電用変電所 25,柏町,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 配電用変電所 26,国分寺南,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 配電用変電所 27,恋ヶ窪,66,6.6以下,2,38,39,熱容量,19,0,不可,-,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 配電用変電所 28,北山,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 配電用変電所 29,砂川,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 30,国立,66,6.6以下,3,47,49,熱容量,9,9,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 31,府中,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送117,上位系（送98）による制約
東京都（多摩地区） 配電用変電所 32,井口,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 33,梶野,66,6.6以下,3,47,49,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 34,車返,66,6.6以下,3,47,49,熱容量,9,9,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 35,調布,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 36,浅間町,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 37,調布ヶ丘,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 38,布田,66,6.6以下,3,28,29,熱容量,9,9,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 39,矢崎,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 40,稲城,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 41,長峰,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 42,東大和,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 43,村山,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 44,緑町,66,6.6以下,2,57,59,熱容量,29,29,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 45,昭島,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 46,高松,66,6.6以下,3,47,49,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 47,南柴崎,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 48,高幡不動,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 49,谷保,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 50,中河原,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 51,平山,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 52,聖蹟桜ヶ丘,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 53,落合,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 54,高幡,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 55,由木,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 56,石川町,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 57,小作,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 58,貝取,66,6.6以下,3,47,49,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 59,別所,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 60,日野,66,6.6以下,3,47,49,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 61,北野,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 62,元横山,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 63,八王子,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 64,千人町,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 65,大楽寺,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 66,明神町,66,6.6以下,2,57,59,熱容量,29,29,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 67,片倉,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 68,みなみ野,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 69,寺田,66,6.6以下,2,38,39,熱容量,18,18,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 70,浅川,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 71,鶴川,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,送144，送92,上位系（送東京(23区)66kV45）による制約
東京都（多摩地区） 配電用変電所 72,図師町,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送144，送92,上位系（送東京(23区)66kV45）による制約
東京都（多摩地区） 配電用変電所 73,木曽,66,6.6以下,3,52,54,熱容量,14,0,不可,-,有り,-,-,
東京都（多摩地区） 配電用変電所 74,森野,66,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,-,
東京都（多摩地区） 配電用変電所 75,町田,66,6.6以下,4,76,79,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 76,青梅,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 77,箱根ヶ崎,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 78,瑞穂町,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 79,福生,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 80,加美平,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 81,拝島,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 82,中神,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 83,師岡,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 84,根ヶ布,66,6.6以下,1,19,19,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 85,沢井,66,6.6以下,1,9,9,熱容量,9,9,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 86,奥多摩,66,6.6以下,1,9,9,熱容量,3,0,不可,-,有り,-,-,上位系（送東京(23区)66kV10）による制約
東京都（多摩地区） 配電用変電所 87,秋留,66,6.6以下,3,57,59,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 88,増戸,66,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 89,大久野,66,6.6以下,2,19,19,熱容量,7,7,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 90,小峰,66,6.6以下,2,19,19,熱容量,9,9,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 91,犬目,66,6.6以下,3,52,54,熱容量,14,14,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 92,下清戸,154,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 93,前沢,154,6.6以下,3,47,49,熱容量,9,9,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 94,残堀,154,6.6以下,2,38,39,熱容量,19,19,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 95,郷地,154,6.6以下,3,47,49,熱容量,9,9,不可,-,-,-,-,
東京都（多摩地区） 配電用変電所 96,原町田,154,6.6以下,3,47,49,熱容量,14,0,不可,-,有り,-,送144，送92,上位系（送92）による制約
東京都（多摩地区） 配電用変電所 97,成瀬,154,6.6以下,3,57,59,熱容量,19,0,不可,-,有り,-,送144，送92,上位系（送92）による制約
