2025年11月25日更新
送電線No,送電線名,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
神奈川県 66kV 163,送電線,66,2,-,-,-,3,0,-,-,有り,-,-,◇　上位系（送神奈川66kV157）による制約
神奈川県 66kV 164,送電線,66,2,372,212,熱容量,186,186,可,160,-,-,-,
神奈川県 66kV 165,西湘線,66,2,372,212,熱容量,186,186,可,160,-,-,-,
神奈川県 66kV 166,西湘線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 167,西湘線,66,2,184,104,熱容量,83,83,可,80,-,-,-,
神奈川県 66kV 168,西湘線,66,2,-,-,-,83,83,-,-,-,-,-,
神奈川県 66kV 169,中堀線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 170,国府津線,66,2,102,57,熱容量,51,51,可,45,-,-,-,
神奈川県 66kV 171,南高田線,66,2,208,118,熱容量,104,83,可,90,-,-,-,
神奈川県 66kV 172,足柄線,66,2,372,212,熱容量,186,186,可,160,-,-,-,
神奈川県 66kV 173,足柄線,66,2,184,104,熱容量,92,92,可,80,-,-,-,
神奈川県 66kV 174,穴部線,66,2,372,212,熱容量,186,186,可,160,-,-,-,
神奈川県 66kV 175,真鶴線,66,2,122,68,熱容量,61,61,可,54,-,-,-,
神奈川県 66kV 176,箱根線,66,2,294,167,熱容量,144,144,可,127,-,-,-,
神奈川県 66kV 177,箱根線,66,2,60,36,熱容量,30,30,可,24,-,-,-,
神奈川県 66kV 178,送電線,66,2,208,118,熱容量,97,97,可,90,-,-,-,
神奈川県 66kV 179,送電線,66,2,102,57,熱容量,49,49,可,45,-,-,-,
